x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
11,19,1297177782,663427631,1487199353,24475052.490566038
11,20,1561120255,1805251825,1376168268,19273089.567901235
11,21,2074095409,1749174153,1638787675,20740954.09
11,22,517758752,987197735,862432077,12040901.209302325
11,23,1143111977,282875784,846014064,22413960.333333332
11,24,907841374,953469096,1092470683,15652437.48275862
11,25,2174201915,1569651413,1729318081,19946806.559633028
11,26,360951294,665877686,576973576,9255161.384615384
11,27,403085619,1078436065,821987921,8762730.847826088
11,28,344713847,561123392,378466207,10138642.55882353
11,29,1104669168,1612550330,863471372,14927961.72972973
11,30,1490377394,1687602044,1230386549,22581475.666666668
11,31,846574770,1667582380,953555184,24187850.57142857
11,32,1565933736,1588823584,1853289811,24856091.04761905
11,33,508702673,1334853997,1586278185,13043658.282051282
11,34,1110983667,1313359929,1124226407,28486760.692307692
11,35,610911775,1078847329,611081691,19090992.96875
11,36,999887034,118798871,656677619,47613668.28571428
12,8,724143766,869890744,707396971,13410069.74074074
12,9,689589350,1004567482,509152716,13521359.80392157
12,10,1111784987,270443555,1254869303,25855464.81395349
12,11,2155878031,2485102369,1987194056,20148392.81308411
12,12,2193997933,1824173394,1841902126,22387734.01020408
12,13,834657343,588784958,1102606643,27821911.433333334
12,18,1,200213033,122000,1
12,19,1374671862,788434300,1247716726,19361575.521126762
12,20,1261293267,714400223,1326315307,16595964.039473685
12,21,1625416767,1388858057,1871789873,21387062.72368421
12,22,1561664810,1581797533,1155376877,20021343.717948716
12,23,1612221584,1587909650,1565224401,15962589.940594058
12,24,794575703,824376191,959041896,12815737.14516129
12,25,811185760,899699186,798263818,16899703.333333332
12,26,741172522,993547270,198033713,18529313.05
12,27,928364196,1091182789,814498648,12893947.166666666
12,28,261360916,918001899,664238034,4931338.037735849
12,29,797035737,1641562958,694816880,14491558.854545455
12,30,1119212241,1957487427,1677655793,13014095.825581396
12,31,294750161,779216997,164258246,10916672.629629629
12,32,1166310491,1309518209,1140788288,23802254.91836735
12,33,1186165417,1003440159,821106860,30414497.871794872
12,34,1066952410,1331974042,923055223,26023229.51219512
12,35,1253595386,2100919313,945592851,24107603.576923076
